product_title,incoming_product_id,prod_type,outgoing_product_id
Supernova - 2 Items,4382369349690,2,4382368825402
Supernova - 3 Items,4382369349690,3,4382368890938
Supernova - 5 Items,4382369349690,5,4382369349690
Hidden Gem - 2 Items,4382370824250,2,4382369808442
Hidden Gem - 3 Items,4382370824250,3,4382369906746
Hidden Gem - 5 Items,4382370824250,5,4382370824250
Bayside Breeze - 2 Items,4382372233274,2,4382371348538
Bayside Breeze - 3 Items,4382372233274,3,4382371840058
Bayside Breeze - 5 Items,4382372233274,5,4382372233274
Cupids Kiss - 2 Items,4382378360890,2,4382377443386
Cupids Kiss - 3 Items,4382378360890,3,4382378229818
Cupids Kiss - 5 Items,4382378360890,5,4382378360890
Knockout - 2 Items,4382379999290,2,4382379376698
Knockout - 3 Items,4382379999290,3,4382379475002
Knockout - 5 Items,4382379999290,5,4382379999290
Ready Set Go - 2 Items,4385217249338,2,4383945261114
Ready Set Go - 3 Items,4385217249338,3,4385207582778
Ready Set Go - 5 Items,4385217249338,5,4385217249338
Out Of The Blue - 2 Items,4385220067386,2,4385218494522
Out Of The Blue - 3 Items,4385220067386,3,4385218953274
Out Of The Blue - 5 Items,4385220067386,5,4385220067386
