collection_name,collection_id,collection_size_type
Supernova - 5 Items,1,leggings
Supernova - 5 Items,1,sports-bra
Supernova - 5 Items,1,tops
Hidden Gem - 5 Items,2,leggings
Hidden Gem - 5 Items,2,sports-bra
Hidden Gem - 5 Items,2,tops
Bayside Breeze - 5 Items,3,leggings
Bayside Breeze - 5 Items,3,sports-bra
Bayside Breeze - 5 Items,3,tops
Cupids Kiss - 5 Items,4,leggings
Cupids Kiss - 5 Items,4,sports-jacket
Cupids Kiss - 5 Items,4,sports-bra
Knockout - 5 Items,5,leggings
Knockout - 5 Items,5,sports-bra
Knockout - 5 Items,5,tops
Ready Set Go - 5 Items,6,leggings
Ready Set Go - 5 Items,6,sports-bra
Ready Set Go - 5 Items,6,tops
Out Of The Blue - 5 Items,7,leggings
Out Of The Blue - 5 Items,7,sports-bra
Out Of The Blue - 5 Items,7,tops
